# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	8158
#@/user_id	3dec6ac1-e48f-48db-b571-d010f4307a57
a 	啊	c=78 d=10.1101 t=8158
yun lun 	晕轮	c=5 d=2.6227e-08 t=8158
yun nan 	云南	c=1 d=1.8325e-08 t=8158
yun tu 	云图	c=2 d=1.98511 t=8158
yun xing 	运行	c=8 d=1.03578 t=8158
za 	咋	c=2 d=0.12938 t=8158
za yin 	杂音	c=1 d=0.970446 t=8158
zai 	再	c=5 d=1.7281 t=8158
zai 	在	c=28 d=2.31535 t=8158
zai bu zai 	在不在	c=1 d=5.38219e-07 t=8158
zai ci 	再次	c=1 d=7.10537e-10 t=8158
zai li mian 	在里面	c=1 d=9.01398e-15 t=8158
zai ti 	载体	c=1 d=0.075774 t=8158
zai xia 	在下	c=1 d=8.03065e-09 t=8158
zai yu 	在于	c=1 d=9.71602e-15 t=8158
zan 	咱	c=1 d=0.0867261 t=8158
zan men 	咱们	c=1 d=2.55598e-11 t=8158
zan shi 	暂时	c=3 d=0.255388 t=8158
zao 	早	c=3 d=1.29967 t=8158
zao gao 	糟糕	c=2 d=0.00120052 t=8158
zao yi 	早已	c=1 d=8.74311e-09 t=8158
zao yi 	造一	c=0 d=1.47849e-13 t=8158
zao yi ge 	造一个	c=1 d=1.4859e-12 t=8158
ze 	啧	c=1 d=1 t=8158
ze 	泽	c=1 d=1.96537e-08 t=8158
ze ren 	责任	c=1 d=0.00023056 t=8158
ze ren xin 	责任心	c=1 d=3.88944e-09 t=8158
ze ze 	啧啧	c=1 d=6.19099e-07 t=8158
zen me 	怎么	c=34 d=2.81709 t=8158
zen me ban 	怎么办	c=2 d=1 t=8158
zen me hui 	怎么会	c=1 d=4.78512e-06 t=8158
zen me kan 	怎么看	c=1 d=1.0712e-15 t=8158
zeng zhi 	增值	c=1 d=2.20527e-10 t=8158
zha 	炸	c=3 d=0.00577221 t=8158
zha le 	炸了	c=3 d=1.64137e-06 t=8158
zhai yao 	摘要	c=1 d=9.71272e-11 t=8158
zhan 	站	c=5 d=0.000104477 t=8158
zhan di fang 	占地方	c=1 d=2.28421e-12 t=8158
zhan shi 	战士	c=1 d=4.08038e-14 t=8158
zhan tie 	粘贴	c=1 d=3.45021e-11 t=8158
zhan yong 	占用	c=2 d=0.980316 t=8158
zhan zai 	站在	c=1 d=0.927743 t=8158
zhan zhe 	占着	c=0 d=6.91558e-16 t=8158
zhan zhu 	站住	c=3 d=8.19822e-07 t=8158
zhang 	帐	c=1 d=1.03632e-08 t=8158
zhang 	章	c=1 d=1.04152e-08 t=8158
zhang jia 	涨价	c=0 d=0.00137049 t=8158
zhang ju zheng 	张居正	c=1 d=1.98992e-07 t=8158
zhang le 	涨了	c=1 d=2.08726e-10 t=8158
zhang liang 	张良	c=1 d=6.42811e-08 t=8158
zhang qian 	张骞	c=1 d=7.93022e-08 t=8158
zhao 	找	c=1 d=2.52444e-12 t=8158
zhao bu dao 	找不到	c=2 d=1.95524e-06 t=8158
zhao hun 	招魂	c=0 d=1.01318e-08 t=8158
zhao jiao 	招教	c=1 d=0.946485 t=8158
zhao pin 	招聘	c=1 d=9.51553e-05 t=8158
zhao zhao 	找找	c=1 d=1.18285e-05 t=8158
zhe 	着	c=1 d=0.0520787 t=8158
zhe 	者	c=1 d=0.00117088 t=8158
zhe 	这	c=28 d=2.96952 t=8158
zhe ba 	这把	c=0 d=3.04532e-14 t=8158
zhe bian 	这边	c=6 d=0.968413 t=8158
zhe bian hua 	这变化	c=1 d=2.34124e-08 t=8158
zhe bu 	这不	c=2 d=0.527287 t=8158
zhe bu jiu shi 	这不就是	c=1 d=0.000109455 t=8158
zhe duan shi jian 	这段时间	c=1 d=5.64642e-12 t=8158
zhe ge 	这个	c=75 d=5.07211 t=8158
zhe ge xian xiang 	这个现象	c=1 d=2.50409e-05 t=8158
zhe ji tian 	这几天	c=1 d=3.45914e-12 t=8158
zhe li 	这里	c=1 d=4.13923e-06 t=8158
zhe me 	这么	c=12 d=3.41031 t=8158
zhe men 	这门	c=1 d=5.29017e-10 t=8158
zhe pei zhi 	这配置	c=1 d=4.77358e-07 t=8158
zhe shi 	这是	c=7 d=0.000392194 t=8158
zhe shi ge 	这是个	c=1 d=0.965605 t=8158
zhe shi jian 	这时间	c=1 d=3.47648e-12 t=8158
zhe teng 	折腾	c=1 d=0.00878245 t=8158
zhe xie 	这些	c=2 d=0.923116 t=8158
zhe xue 	哲学	c=1 d=0.0262523 t=8158
zhe yang 	这样	c=5 d=0.970814 t=8158
zhe ye 	这也	c=1 d=0.0780817 t=8158
zhe zhong 	这种	c=6 d=0.0020429 t=8158
zhen 	真	c=5 d=1.02247 t=8158
zhen de 	真的	c=4 d=1.00712 t=8158
zhen guan 	贞观	c=0 d=1.54202e-08 t=8158
zhen guan yi feng 	贞观遗风	c=1 d=1.54975e-07 t=8158
zhen kuai 	真快	c=1 d=0.951229 t=8158
zhen qin 	真琴	c=1 d=1.87953e-12 t=8158
zhen ren 	真人	c=0 d=7.79199e-08 t=8158
zhen shi 	真实	c=1 d=4.51889e-09 t=8158
zhen xiang 	真相	c=1 d=0.25924 t=8158
zhen zhen zheng zheng 	真真正正	c=1 d=0.045275 t=8158
zhen zheng 	真正	c=2 d=0.0933124 t=8158
zheng 	帧	c=2 d=8.76229e-07 t=8158
zheng 	整	c=1 d=0.965605 t=8158
zheng 	正	c=0 d=8.9413e-09 t=8158
zheng 	证	c=2 d=1.00149 t=8158
zheng ce 	政策	c=0 d=8.59217e-11 t=8158
zheng chang 	正常	c=17 d=3.45025 t=8158
zheng chang ma 	正常吗	c=1 d=1.17795e-15 t=8158
zheng de 	整得	c=1 d=5.48047e-14 t=8158
zheng fu 	政府	c=2 d=1.51642e-08 t=8158
zheng ge 	整个	c=3 d=0.99005 t=8158
zheng jie 	正解	c=2 d=5.38413e-11 t=8158
zheng le 	整了	c=1 d=1.70067e-12 t=8158
zheng pin 	正品	c=2 d=1.78e-09 t=8158
zheng que 	正确	c=1 d=0.941765 t=8158
zheng shu 	证书	c=7 d=3.74709 t=8158
zheng tai fen bu 	正态分布	c=2 d=9.48266e-10 t=8158
zheng wen 	正文	c=2 d=3.21477e-08 t=8158
zheng xiang 	正向	c=0 d=2.1232e-06 t=8158
zheng xiang ji li 	正向激励	c=1 d=2.13384e-05 t=8158
zheng zai 	正在	c=2 d=1.46865e-10 t=8158
zheng ze 	正则	c=3 d=2.95551 t=8158
zheng zhi 	政治	c=1 d=0.000112226 t=8158
zheng zhi bu 	政治部	c=1 d=1.79621e-08 t=8158
zheng zhi xing 	政治性	c=1 d=9.33029e-09 t=8158
zhi 	值	c=1 d=1.2949e-11 t=8158
zhi 	制	c=3 d=1.59513e-07 t=8158
zhi 	只	c=2 d=9.64749e-11 t=8158
zhi 	至	c=4 d=1.32688e-13 t=8158
zhi ben 	之本	c=1 d=7.58256e-10 t=8158
zhi bian 	之变	c=0 d=4.88261e-09 t=8158
zhi bing jiu ren 	治病救人	c=1 d=9.9569e-09 t=8158
zhi bo 	直播	c=1 d=1 t=8158
zhi bu guo 	只不过	c=2 d=0.0746877 t=8158
zhi bu jian zai lian shang 	支部建在连上	c=1 d=1.42371e-09 t=8158
zhi chi 	支持	c=4 d=4.39519e-06 t=8158
zhi dao 	知道	c=4 d=1.70674 t=8158
zhi dian 	指点	c=2 d=1.14767e-09 t=8158
zhi du 	制度	c=4 d=0.000392329 t=8158
zhi fu 	之父	c=2 d=8.3324e-09 t=8158
zhi fu 	支付	c=2 d=1.9916e-09 t=8158
zhi fu bao 	支付宝	c=3 d=0.579842 t=8158
zhi hou 	之后	c=12 d=1.80876 t=8158
zhi hui 	只会	c=0 d=0.00137049 t=8158
zhi hui 	指挥	c=4 d=8.91089e-09 t=8158
zhi hui zhang jia 	只会涨价	c=1 d=0.0137736 t=8158
zhi jiao 	支教	c=1 d=3.14619e-14 t=8158
zhi jie 	直接	c=24 d=4.04578 t=8158
zhi jie shang qu 	直接上去	c=1 d=7.71971e-15 t=8158
zhi kong 	指控	c=1 d=2.17695e-05 t=8158
zhi lei 	之类	c=2 d=0.0776922 t=8158
zhi li 	治理	c=2 d=0.00030756 t=8158
zhi ling 	指令	c=1 d=1 t=8158
zhi ling ji 	指令集	c=1 d=6.28563e-09 t=8158
zhi nan che 	指南车	c=1 d=4.62132e-08 t=8158
zhi neng 	只能	c=3 d=0.0189843 t=8158
zhi neng 	职能	c=1 d=8.03265e-09 t=8158
zhi neng bu men 	职能部门	c=1 d=8.23395e-09 t=8158
zhi neng che 	智能车	c=1 d=1.27827e-06 t=8158
zhi neng jia ju 	智能家居	c=1 d=0.995012 t=8158
zhi qian 	之前	c=10 d=4.23073e-05 t=8158
zhi shi 	只是	c=3 d=0.111423 t=8158
zhi shi 	知识	c=2 d=0.151483 t=8158
zhi shu 	之术	c=0 d=6.8942e-09 t=8158
zhi sun 	止损	c=0 d=4.5643e-10 t=8158
zhi wei 	置为	c=1 d=1 t=8158
zhi xian shi 	只显示	c=1 d=1.37166e-12 t=8158
zhi xing 	执行	c=3 d=2.50126 t=8158
zhi xing he yi 	知行合一	c=1 d=8.23255e-07 t=8158
zhi yao 	只要	c=2 d=0.279084 t=8158
zhi ye 	职业	c=1 d=3.16196e-14 t=8158
zhi ye zi ge 	职业资格	c=1 d=3.58297e-14 t=8158
zhi yi 	之一	c=1 d=9.44684e-08 t=8158
zhi yong 	只用	c=1 d=2.68566e-05 t=8158
zhi you 	只有	c=8 d=0.0572225 t=8158
zhi yuan 	支援	c=1 d=2.0061e-14 t=8158
zhi yue 	制约	c=1 d=7.06873e-08 t=8158
zhi zai hu 	只在乎	c=1 d=0.951229 t=8158
zhi zhan 	之战	c=2 d=1.9319e-07 t=8158
zhi zhen 	指针	c=1 d=0.00219846 t=8158
zhi zhi chi 	只支持	c=1 d=0.562705 t=8158
zhi zhi dao 	只知道	c=1 d=1.07822 t=8158
zhong 	中	c=7 d=1.37651 t=8158
zhong 	仲	c=0 d=5.8164e-09 t=8158
zhong 	重	c=0 d=2.14973e-05 t=8158
zhong chao 	中朝	c=1 d=7.03347e-08 t=8158
zhong duan 	终端	c=6 d=2.44444 t=8158
zhong guo 	中国	c=9 d=2.83549 t=8158
zhong guo dui 	中国队	c=1 d=0.985112 t=8158
zhong ji 	中级	c=2 d=7.18407e-14 t=8158
zhong jian 	中间	c=3 d=0.865022 t=8158
zhong nian 	中年	c=1 d=0.00400585 t=8158
zhong shang zhi xia 	重赏之下	c=1 d=4.0783e-08 t=8158
zhong shu 	种树	c=1 d=0.582748 t=8158
zhong wen 	中文	c=6 d=2.84427 t=8158
zhong wen zi ti 	中文字体	c=1 d=0.000430743 t=8158
zhong xin 	中心	c=2 d=1.68378e-10 t=8158
zhong xing 	中兴	c=1 d=1.05453e-07 t=8158
zhong yi xie 	重一些	c=1 d=0.00021605 t=8158
zhong yu 	终于	c=2 d=1.91259 t=8158
zhong zhi 	中止	c=1 d=7.37374e-05 t=8158
zhou 	周	c=1 d=3.16034e-08 t=8158
zhou 	皱	c=1 d=0.0214936 t=8158
zhou gong jie meng 	周公解梦	c=1 d=3.37259e-08 t=8158
zhou tian zi 	周天子	c=1 d=3.99755e-08 t=8158
zhou wang 	纣王	c=1 d=3.11329e-08 t=8158
zhou yi 	周易	c=1 d=7.48646e-07 t=8158
zhou you wang 	周幽王	c=1 d=3.44072e-08 t=8158
zhu 	主	c=0 d=0.0477114 t=8158
zhu ce 	注册	c=2 d=0.00181803 t=8158
zhu ci 	主次	c=1 d=2.0615e-11 t=8158
zhu da jia 	祝大家	c=1 d=1.02654e-14 t=8158
zhu dao 	主导	c=1 d=0.0544757 t=8158
zhu dong 	主动	c=1 d=0.00423234 t=8158
zhu fen qu 	主分区	c=4 d=2.11086 t=8158
zhu fu 	祝福	c=1 d=0.995012 t=8158
zhu ge liang 	诸葛亮	c=1 d=1.38832e-07 t=8158
zhu jun 	诸君	c=1 d=1.13119e-09 t=8158
zhu shi 	注释	c=2 d=0.980199 t=8158
zhu shi diao 	注释掉	c=1 d=1.10897e-11 t=8158
zhu su 	住宿	c=0 d=0.0017953 t=8158
zhu ti 	主题	c=8 d=1.60379e-13 t=8158
zhu wen 	猪瘟	c=1 d=1.7042e-07 t=8158
zhu xian 	主线	c=1 d=0.798516 t=8158
zhu yao 	主要	c=4 d=1.35322 t=8158
zhu yi 	主义	c=1 d=2.0608e-07 t=8158
zhu yi 	注意	c=2 d=0.000432852 t=8158
zhua dao 	抓到	c=1 d=4.8725e-13 t=8158
zhua qi 	抓起	c=1 d=4.06708e-05 t=8158
zhuan 	赚	c=1 d=1.28823e-09 t=8158
zhuan 	转	c=7 d=0.000412588 t=8158
zhuan chu 	转储	c=2 d=3.92004e-11 t=8158
zhuan ge 	转个	c=1 d=2.80975e-07 t=8158
zhuan huan 	转换	c=11 d=3.70505 t=8158
zhuan men 	专门	c=1 d=9.49581e-10 t=8158
zhuan qian 	赚钱	c=3 d=0.0187793 t=8158
zhuan ye 	专业	c=5 d=8.57669e-09 t=8158
zhuan ye xing zheng shi wu 	专业行政事务	c=1 d=7.87164e-09 t=8158
zhuan zhan 	转站	c=1 d=1.53486e-11 t=8158
zhuang 	装	c=11 d=0.980917 t=8158
zhuang dao 	装到	c=1 d=0.477114 t=8158
zhuang le 	装了	c=2 d=0.00598873 t=8158
zhuang shi 	装饰	c=0 d=0.0995012 t=8158
zhuang shi duan wan 	壮士断腕	c=1 d=4.61018e-09 t=8158
zhuang shi qi 	装饰器	c=2 d=1.97521 t=8158
zhuang tai 	状态	c=11 d=0.00014057 t=8158
zhui jiu 	追究	c=1 d=0.00022941 t=8158
zhun bei 	准备	c=1 d=0.0147723 t=8158
zhuo lu zhi zhan 	涿鹿之战	c=1 d=2.12906e-08 t=8158
zhuo mian 	桌面	c=6 d=0.970523 t=8158
zi 	子	c=2 d=1.18605e-06 t=8158
zi 	字	c=3 d=0.895834 t=8158
zi 	梓	c=1 d=0.0207543 t=8158
zi ben 	资本	c=1 d=2.05052e-07 t=8158
zi ben jia 	资本家	c=4 d=0.0276041 t=8158
zi dan 	子弹	c=0 d=3.74533e-07 t=8158
zi dian 	字典	c=2 d=0.00767482 t=8158
zi dong 	自动	c=19 d=5.13595 t=8158
zi dong hua 	自动化	c=3 d=3.28876e-06 t=8158
zi dong sheng cheng 	自动生成	c=1 d=0.00143728 t=8158
zi fang 	子房	c=1 d=6.55797e-08 t=8158
zi fu 	字符	c=1 d=0.995012 t=8158
zi hao 	字号	c=1 d=1.44997e-08 t=8158
zi ji 	自己	c=16 d=4.02714 t=8158
zi ji yong 	自己用	c=1 d=0.71177 t=8158
zi mu 	字幕	c=1 d=1.43777e-07 t=8158
zi shu 	字数	c=1 d=0.88692 t=8158
zi ti 	字体	c=14 d=8.38077 t=8158
zi wang 	子网	c=1 d=1.50861e-14 t=8158
zi wo 	自我	c=3 d=6.11427e-09 t=8158
zi wo shi xian 	自我实现	c=4 d=7.34927e-09 t=8158
zi xi kan 	仔细看	c=1 d=4.36495e-13 t=8158
zi xing che 	自行车	c=1 d=1.22203e-06 t=8158
zi yuan 	资源	c=3 d=0.965605 t=8158
zi zhu 	自主	c=1 d=0.752014 t=8158
zong 	宗	c=1 d=1.46682e-07 t=8158
zong bi 	总比	c=1 d=0.0134335 t=8158
zong fa 	宗法	c=0 d=3.19211e-09 t=8158
zong fa zhi 	宗法制	c=2 d=6.46469e-08 t=8158
zong fen 	总分	c=1 d=1.40978e-11 t=8158
zong shi 	总是	c=1 d=0.0126512 t=8158
zong tiao 	纵跳	c=2 d=2.56939e-14 t=8158
zong tiao mo gao 	纵跳摸高	c=1 d=1.30309e-14 t=8158
zong tiao mo gao pao 	纵跳摸高跑	c=1 d=1.22899e-14 t=8158
zong zeng 	宗曾	c=1 d=7.375e-07 t=8158
zou 	走	c=8 d=0.0144035 t=8158
zou de 	走的	c=1 d=2.02488e-06 t=8158
zu 	组	c=1 d=1.44498e-07 t=8158
zu ge 	组个	c=0 d=0.00182243 t=8158
zu ge dui 	组个队	c=1 d=0.0183156 t=8158
zu he 	组合	c=2 d=4.4212e-06 t=8158
zu jian 	组件	c=1 d=1 t=8158
zu sun 	祖孙	c=1 d=4.12139e-14 t=8158
zu zhi 	组织	c=6 d=1.45704e-08 t=8158
zu zhi li lun zhi fu 	组织立论之父	c=1 d=1.55779e-09 t=8158
zui 	最	c=2 d=1.0799e-14 t=8158
zui 	罪	c=1 d=0.000257369 t=8158
zui da 	最大	c=1 d=0.941765 t=8158
zui da hua 	最大化	c=5 d=3.22577 t=8158
zui di 	最低	c=1 d=2.85416e-15 t=8158
zui duo 	最多	c=2 d=5.36065e-11 t=8158
zui gao rong yu 	最高荣誉	c=1 d=9.39973e-08 t=8158
zui hao 	最好	c=1 d=1.62977e-11 t=8158
zui hou 	最后	c=7 d=1.28656 t=8158
zui hou fa xian 	最后发现	c=1 d=9.86286e-15 t=8158
zui jin 	最近	c=12 d=1.12215 t=8158
zui jing dian 	最经典	c=1 d=9.28217e-07 t=8158
zui kai shi 	最开始	c=1 d=0.0378169 t=8158
zui liang 	最亮	c=1 d=0.932394 t=8158
zui pian yi 	最便宜	c=1 d=0.0130365 t=8158
zui xin 	最新	c=3 d=1.98506 t=8158
zun zhong 	尊重	c=7 d=1.3388e-08 t=8158
zuo biao xi 	座标系	c=1 d=2.92442e-07 t=8158
zuo de 	做的	c=1 d=0.946485 t=8158
zuo fa zi bi 	作法自毙	c=1 d=4.13994e-08 t=8158
zuo ge 	做个	c=2 d=0.000665481 t=8158
zuo pin 	作品	c=1 d=9.37546e-07 t=8158
zuo wan 	昨晚	c=1 d=1.78234e-05 t=8158
zuo wei 	作为	c=3 d=0.000247277 t=8158
zuo ye 	作业	c=1 d=0.00152616 t=8158
zuo yong 	作用	c=1 d=0.00226541 t=8158
zuo zhe 	作者	c=1 d=0.00112497 t=8158
